Component,Timestamp(us),Total Allocated(MB),Total Reserved(MB),Total Active(MB),Device Type
MindSpore,1783301382365513.98,5804.501,6447.104,5804.501,NPU:0
MindSpore+GE,1783301382365513.98,5804.501,6447.104,5804.501,NPU:0
MindSpore,1783301382365547.66,5804.5015,6447.104,5804.5015,NPU:0
MindSpore+GE,1783301382365547.66,5804.5015,6447.104,5804.5015,NPU:0
MindSpore,1783301382365562.44,5804.504,6447.104,5804.504,NPU:0
MindSpore+GE,1783301382365562.44,5804.504,6447.104,5804.504,NPU:0
MindSpore,1783301382371570.48,5804.5035,6447.104,5804.5035,NPU:0
MindSpore+GE,1783301382371570.48,5804.5035,6447.104,5804.5035,NPU:0
MindSpore,1783301382371592.94,5804.512,6447.104,5804.512,NPU:0
MindSpore+GE,1783301382371592.94,5804.512,6447.104,5804.512,NPU:0
MindSpore,1783301382383699.43,5804.5095,6447.104,5804.5095,NPU:0
MindSpore+GE,1783301382383699.43,5804.5095,6447.104,5804.5095,NPU:0
MindSpore,1783301382384193.65,5804.518,6447.104,5804.518,NPU:0
MindSpore+GE,1783301382384193.65,5804.518,6447.104,5804.518,NPU:0
MindSpore,1783301382384209.31,5804.5265,6447.104,5804.5265,NPU:0
MindSpore+GE,1783301382384209.31,5804.5265,6447.104,5804.5265,NPU:0
MindSpore,1783301382389778.46,5804.5355,6447.104,5804.5355,NPU:0
MindSpore+GE,1783301382389778.46,5804.5355,6447.104,5804.5355,NPU:0
MindSpore,1783301382389802.62,5804.5265,6447.104,5804.5265,NPU:0
MindSpore+GE,1783301382389802.62,5804.5265,6447.104,5804.5265,NPU:0
MindSpore,1783301382392650.4,5804.535,6447.104,5804.535,NPU:0
MindSpore+GE,1783301382392650.4,5804.535,6447.104,5804.535,NPU:0
MindSpore,1783301382392662.08,5804.5355,6447.104,5804.5355,NPU:0
MindSpore+GE,1783301382392662.08,5804.5355,6447.104,5804.5355,NPU:0
MindSpore,1783301382392671.39,5804.538,6447.104,5804.538,NPU:0
MindSpore+GE,1783301382392671.39,5804.538,6447.104,5804.538,NPU:0
MindSpore,1783301382392841.23,5804.5375,6447.104,5804.5375,NPU:0
MindSpore+GE,1783301382392841.23,5804.5375,6447.104,5804.5375,NPU:0
MindSpore,1783301382392851.63,5804.542,6447.104,5804.542,NPU:0
MindSpore+GE,1783301382392851.63,5804.542,6447.104,5804.542,NPU:0
MindSpore,1783301382393328.96,5804.5395,6447.104,5804.5395,NPU:0
MindSpore+GE,1783301382393328.96,5804.5395,6447.104,5804.5395,NPU:0
MindSpore,1783301382406733.85,5812.732,6447.104,5812.732,NPU:0
MindSpore+GE,1783301382406733.85,5812.732,6447.104,5812.732,NPU:0
MindSpore,1783301382406788.27,5820.9245,6447.104,5820.9245,NPU:0
MindSpore+GE,1783301382406788.27,5820.9245,6447.104,5820.9245,NPU:0
MindSpore,1783301382411427.62,5820.925,6447.104,5820.925,NPU:0
MindSpore+GE,1783301382411427.62,5820.925,6447.104,5820.925,NPU:0
MindSpore,1783301382411442.65,5829.1175,6447.104,5829.1175,NPU:0
MindSpore+GE,1783301382411442.65,5829.1175,6447.104,5829.1175,NPU:0
MindSpore,1783301382411663.3,5829.113,6447.104,5829.113,NPU:0
MindSpore+GE,1783301382411663.3,5829.113,6447.104,5829.113,NPU:0
MindSpore,1783301382411693.21,5829.1045,6447.104,5829.1045,NPU:0
MindSpore+GE,1783301382411693.21,5829.1045,6447.104,5829.1045,NPU:0
MindSpore,1783301382416452.9,5820.912,6447.104,5820.912,NPU:0
MindSpore+GE,1783301382416452.9,5820.912,6447.104,5820.912,NPU:0
MindSpore,1783301382416466.1,5820.9115,6447.104,5820.9115,NPU:0
MindSpore+GE,1783301382416466.1,5820.9115,6447.104,5820.9115,NPU:0
MindSpore,1783301382418975.47,5825.008,6447.104,5825.008,NPU:0
MindSpore+GE,1783301382418975.47,5825.008,6447.104,5825.008,NPU:0
MindSpore,1783301382419388.71,5816.8155,6447.104,5816.8155,NPU:0
MindSpore+GE,1783301382419388.71,5816.8155,6447.104,5816.8155,NPU:0
MindSpore,1783301382420332.92,5816.823,6447.104,5816.823,NPU:0
MindSpore+GE,1783301382420332.92,5816.823,6447.104,5816.823,NPU:0
MindSpore,1783301382425307.65,5816.8235,6447.104,5816.835,NPU:0
MindSpore+GE,1783301382425307.65,5816.8235,6447.104,5816.835,NPU:0
MindSpore,1783301382425832.4,5816.83,6447.104,5816.8425,NPU:0
MindSpore+GE,1783301382425832.4,5816.83,6447.104,5816.8425,NPU:0
MindSpore,1783301382426324.68,5816.8325,6447.104,5816.855,NPU:0
MindSpore+GE,1783301382426324.68,5816.8325,6447.104,5816.855,NPU:0
MindSpore,1783301382426831.47,5816.84,6447.104,5816.8665,NPU:0
MindSpore+GE,1783301382426831.47,5816.84,6447.104,5816.8665,NPU:0
MindSpore,1783301382427477.37,5816.8425,6447.104,5816.8805,NPU:0
MindSpore+GE,1783301382427477.37,5816.8425,6447.104,5816.8805,NPU:0
MindSpore,1783301382427917.43,5947.915,6447.104,5947.953,NPU:0
MindSpore+GE,1783301382427917.43,5947.915,6447.104,5947.953,NPU:0
MindSpore,1783301382428367.26,6005.2595,6447.104,6201.9065,NPU:0
MindSpore+GE,1783301382428367.26,6005.2595,6447.104,6201.9065,NPU:0
MindSpore,1783301382428807.24,6016.012,6447.104,6298.676,NPU:0
MindSpore+GE,1783301382428807.24,6016.012,6447.104,6298.676,NPU:0
MindSpore,1783301382429232.97,6212.6205,6447.104,6511.4135,NPU:0
MindSpore+GE,1783301382429232.97,6212.6205,6447.104,6511.4135,NPU:0
MindSpore,1783301382429650.14,6216.205,6447.104,6809.911,NPU:0
MindSpore+GE,1783301382429650.14,6216.205,6447.104,6809.911,NPU:0
MindSpore,1783301382430092.62,6259.2135,6447.104,6858.2965,NPU:0
MindSpore+GE,1783301382430092.62,6259.2135,6447.104,6858.2965,NPU:0
MindSpore,1783301382430517.77,6280.718,6447.104,6944.314,NPU:0
MindSpore+GE,1783301382430517.77,6280.718,6447.104,6944.314,NPU:0
MindSpore,1783301382472763.12,7185.6785,7352.32,7881.5315,NPU:0
MindSpore+GE,1783301382472763.12,7185.6785,7352.32,7881.5315,NPU:0
MindSpore,1783301382474534.33,7200.015,7352.32,7200.015,NPU:0
MindSpore+GE,1783301382474534.33,7200.015,7352.32,7200.015,NPU:0
MindSpore,1783301382486497.49,7214.3515,7352.32,7214.3515,NPU:0
MindSpore+GE,1783301382486497.49,7214.3515,7352.32,7214.3515,NPU:0
MindSpore,1783301382505522.65,7230.7365,7352.32,7230.7365,NPU:0
MindSpore+GE,1783301382505522.65,7230.7365,7352.32,7230.7365,NPU:0
MindSpore,1783301382505554.81,7214.3515,7352.32,7214.3515,NPU:0
MindSpore+GE,1783301382505554.81,7214.3515,7352.32,7214.3515,NPU:0
MindSpore,1783301382506005.17,7221.52,7352.32,7221.52,NPU:0
MindSpore+GE,1783301382506005.17,7221.52,7352.32,7221.52,NPU:0
MindSpore,1783301382506348.91,7207.1835,7352.32,7207.1835,NPU:0
MindSpore+GE,1783301382506348.91,7207.1835,7352.32,7207.1835,NPU:0
MindSpore,1783301382507023.42,6302.223,7352.32,6302.223,NPU:0
MindSpore+GE,1783301382507023.42,6302.223,7352.32,6302.223,NPU:0
MindSpore,1783301382507702.82,6302.2315,7352.32,6302.2315,NPU:0
MindSpore+GE,1783301382507702.82,6302.2315,7352.32,6302.2315,NPU:0
MindSpore,1783301382517127.6,6302.24,7352.32,6302.24,NPU:0
MindSpore+GE,1783301382517127.6,6302.24,7352.32,6302.24,NPU:0
MindSpore,1783301382526690.88,6302.2315,7352.32,6302.2315,NPU:0
MindSpore+GE,1783301382526690.88,6302.2315,7352.32,6302.2315,NPU:0
MindSpore,1783301382529085.08,6302.232,7352.32,6302.232,NPU:0
MindSpore+GE,1783301382529085.08,6302.232,7352.32,6302.232,NPU:0
MindSpore,1783301382529096.41,6302.4885,7352.32,6302.4885,NPU:0
MindSpore+GE,1783301382529096.41,6302.4885,7352.32,6302.4885,NPU:0
MindSpore,1783301382529335.79,6303.001,7352.32,6303.001,NPU:0
MindSpore+GE,1783301382529335.79,6303.001,7352.32,6303.001,NPU:0
MindSpore,1783301382529396.77,6302.9925,7352.32,6302.9925,NPU:0
MindSpore+GE,1783301382529396.77,6302.9925,7352.32,6302.9925,NPU:0
MindSpore,1783301382565641.82,6302.736,7352.32,6302.736,NPU:0
MindSpore+GE,1783301382565641.82,6302.736,7352.32,6302.736,NPU:0
MindSpore,1783301382567810.72,6302.7435,7352.32,6302.7435,NPU:0
MindSpore+GE,1783301382567810.72,6302.7435,7352.32,6302.7435,NPU:0
MindSpore,1783301382568604.95,6302.744,7352.32,6302.7555,NPU:0
MindSpore+GE,1783301382568604.95,6302.744,7352.32,6302.7555,NPU:0
MindSpore,1783301382569224.15,6302.7465,7352.32,6302.759,NPU:0
MindSpore+GE,1783301382569224.15,6302.7465,7352.32,6302.759,NPU:0
MindSpore,1783301382569655.3,6302.7475,7352.32,6302.764,NPU:0
MindSpore+GE,1783301382569655.3,6302.7475,7352.32,6302.764,NPU:0
MindSpore,1783301382570058.75,6302.754,7352.32,6302.772,NPU:0
MindSpore+GE,1783301382570058.75,6302.754,7352.32,6302.772,NPU:0
MindSpore,1783301382570443.94,6302.7565,7352.32,6302.7845,NPU:0
MindSpore+GE,1783301382570443.94,6302.7565,7352.32,6302.7845,NPU:0
MindSpore,1783301382570830.94,6302.764,7352.32,6302.796,NPU:0
MindSpore+GE,1783301382570830.94,6302.764,7352.32,6302.796,NPU:0
MindSpore,1783301382571335.2,6302.7925,7352.32,6302.836,NPU:0
MindSpore+GE,1783301382571335.2,6302.7925,7352.32,6302.836,NPU:0
MindSpore,1783301382572006.96,6302.795,7352.32,6302.8815,NPU:0
MindSpore+GE,1783301382572006.96,6302.795,7352.32,6302.8815,NPU:0
MindSpore,1783301382572440.52,6302.7955,7352.32,6302.882,NPU:0
MindSpore+GE,1783301382572440.52,6302.7955,7352.32,6302.882,NPU:0
MindSpore,1783301382572784.99,6302.796,7352.32,6302.8825,NPU:0
MindSpore+GE,1783301382572784.99,6302.796,7352.32,6302.8825,NPU:0
MindSpore,1783301382573020.13,6433.8685,7352.32,6433.955,NPU:0
MindSpore+GE,1783301382573020.13,6433.8685,7352.32,6433.955,NPU:0
MindSpore,1783301382573432.88,6433.885,7352.32,6630.5805,NPU:0
MindSpore+GE,1783301382573432.88,6433.885,7352.32,6630.5805,NPU:0
MindSpore,1783301382573826.44,6441.0535,7352.32,6637.774,NPU:0
MindSpore+GE,1783301382573826.44,6441.0535,7352.32,6637.774,NPU:0
MindSpore,1783301382574214.53,6448.222,7352.32,6655.6955,NPU:0
MindSpore+GE,1783301382574214.53,6448.222,7352.32,6655.6955,NPU:0
MindSpore,1783301382574641.6,6497.3745,7352.32,6715.601,NPU:0
MindSpore+GE,1783301382574641.6,6497.3745,7352.32,6715.601,NPU:0
MindSpore,1783301382575037.54,6497.379,7352.32,6789.3345,NPU:0
MindSpore+GE,1783301382575037.54,6497.379,7352.32,6789.3345,NPU:0
MindSpore,1783301382575416.38,6499.1715,7352.32,6791.134,NPU:0
MindSpore+GE,1783301382575416.38,6499.1715,7352.32,6791.134,NPU:0
MindSpore,1783301382575786.6,6500.964,7352.32,6795.6155,NPU:0
MindSpore+GE,1783301382575786.6,6500.964,7352.32,6795.6155,NPU:0
MindSpore,1783301382576157.51,6501.4125,7352.32,6798.753,NPU:0
MindSpore+GE,1783301382576157.51,6501.4125,7352.32,6798.753,NPU:0
MindSpore,1783301382576531.49,6558.757,7352.32,6856.7705,NPU:0
MindSpore+GE,1783301382576531.49,6558.757,7352.32,6856.7705,NPU:0
MindSpore,1783301382577030.8,6569.5095,7352.32,6953.54,NPU:0
MindSpore+GE,1783301382577030.8,6569.5095,7352.32,6953.54,NPU:0
MindSpore,1783301382577519.26,6766.118,7352.32,7166.2775,NPU:0
MindSpore+GE,1783301382577519.26,6766.118,7352.32,7166.2775,NPU:0
MindSpore,1783301382578002.32,6769.7025,7352.32,7464.775,NPU:0
MindSpore+GE,1783301382578002.32,6769.7025,7352.32,7464.775,NPU:0
MindSpore,1783301382578487.2,6827.047,7352.32,7527.4965,NPU:0
MindSpore+GE,1783301382578487.2,6827.047,7352.32,7527.4965,NPU:0
MindSpore,1783301382578994.3,6855.7195,7352.32,7642.186,NPU:0
MindSpore+GE,1783301382578994.3,6855.7195,7352.32,7642.186,NPU:0
MindSpore,1783301382579481.58,6870.056,7352.32,7699.5315,NPU:0
MindSpore+GE,1783301382579481.58,6870.056,7352.32,7699.5315,NPU:0
MindSpore,1783301382579954.92,6877.2245,7352.32,7728.205,NPU:0
MindSpore+GE,1783301382579954.92,6877.2245,7352.32,7728.205,NPU:0
MindSpore,1783301382587148.83,6884.393,7352.32,7746.1265,NPU:0
MindSpore+GE,1783301382587148.83,6884.393,7352.32,7746.1265,NPU:0
MindSpore,1783301382587153.89,6884.4015,7352.32,7746.135,NPU:0
MindSpore+GE,1783301382587153.89,6884.4015,7352.32,7746.135,NPU:0
MindSpore,1783301382968304.36,6900.786,7352.32,7762.5195,NPU:0
MindSpore+GE,1783301382968304.36,6900.786,7352.32,7762.5195,NPU:0
MindSpore,1783301382968363.98,6884.4015,7352.32,7746.135,NPU:0
MindSpore+GE,1783301382968363.98,6884.4015,7352.32,7746.135,NPU:0
MindSpore,1783301382968768.62,6884.394,7352.32,7746.1275,NPU:0
MindSpore+GE,1783301382968768.62,6884.394,7352.32,7746.1275,NPU:0
MindSpore,1783301382969613.94,6889.7705,7352.32,7751.504,NPU:0
MindSpore+GE,1783301382969613.94,6889.7705,7352.32,7751.504,NPU:0
MindSpore,1783301382970240.73,6895.915,7352.32,7757.6485,NPU:0
MindSpore+GE,1783301382970240.73,6895.915,7352.32,7757.6485,NPU:0
MindSpore,1783301383277806.2,6902.0595,7352.32,7763.793,NPU:0
MindSpore+GE,1783301383277806.2,6902.0595,7352.32,7763.793,NPU:0
MindSpore,1783301383277821.64,6902.068,7352.32,7763.8015,NPU:0
MindSpore+GE,1783301383277821.64,6902.068,7352.32,7763.8015,NPU:0
MindSpore,1783301383278282.41,6918.4525,7352.32,7780.186,NPU:0
MindSpore+GE,1783301383278282.41,6918.4525,7352.32,7780.186,NPU:0
MindSpore,1783301383278316.19,6902.068,7352.32,7763.8015,NPU:0
MindSpore+GE,1783301383278316.19,6902.068,7352.32,7763.8015,NPU:0
MindSpore,1783301383278394.02,6902.0615,7352.32,7763.795,NPU:0
MindSpore+GE,1783301383278394.02,6902.0615,7352.32,7763.795,NPU:0
MindSpore,1783301383278633.17,7000.366,7352.32,7862.0995,NPU:0
MindSpore+GE,1783301383278633.17,7000.366,7352.32,7862.0995,NPU:0
MindSpore,1783301383278988.88,7131.4385,7352.32,7993.172,NPU:0
MindSpore+GE,1783301383278988.88,7131.4385,7352.32,7993.172,NPU:0
MindSpore,1783301383291963.67,7151.9195,7352.32,8013.653,NPU:0
MindSpore+GE,1783301383291963.67,7151.9195,7352.32,8013.653,NPU:0
MindSpore,1783301383291992.15,7131.4385,7352.32,7993.172,NPU:0
MindSpore+GE,1783301383291992.15,7131.4385,7352.32,7993.172,NPU:0
MindSpore,1783301383302978.65,7393.583,7421.952,8255.3165,NPU:0
MindSpore+GE,1783301383302978.65,7393.583,7421.952,8255.3165,NPU:0
MindSpore,1783301383303388.16,7262.5105,7421.952,8124.244,NPU:0
MindSpore+GE,1783301383303388.16,7262.5105,7421.952,8124.244,NPU:0
MindSpore,1783301383372634.41,7524.655,7684.096,8386.3885,NPU:0
MindSpore+GE,1783301383372634.41,7524.655,7684.096,8386.3885,NPU:0
MindSpore,1783301383372674.06,7525.1675,7684.096,8386.901,NPU:0
MindSpore+GE,1783301383372674.06,7525.1675,7684.096,8386.901,NPU:0
MindSpore,1783301383373762.37,7541.552,7684.096,8403.2855,NPU:0
MindSpore+GE,1783301383373762.37,7541.552,7684.096,8403.2855,NPU:0
MindSpore,1783301383373795.24,7525.1675,7684.096,8386.901,NPU:0
MindSpore+GE,1783301383373795.24,7525.1675,7684.096,8386.901,NPU:0
MindSpore,1783301383373829.16,7656.24,7684.096,8517.9735,NPU:0
MindSpore+GE,1783301383373829.16,7656.24,7684.096,8517.9735,NPU:0
MindSpore,1783301383374251.65,7394.0955,7684.096,8255.829,NPU:0
MindSpore+GE,1783301383374251.65,7394.0955,7684.096,8255.829,NPU:0
MindSpore,1783301383374646.41,7395.888,7684.096,8257.6215,NPU:0
MindSpore+GE,1783301383374646.41,7395.888,7684.096,8257.6215,NPU:0
MindSpore,1783301383374909.33,7397.9365,7684.096,8259.67,NPU:0
MindSpore+GE,1783301383374909.33,7397.9365,7684.096,8259.67,NPU:0
MindSpore,1783301383376314.53,7399.985,7684.096,8261.7185,NPU:0
MindSpore+GE,1783301383376314.53,7399.985,7684.096,8261.7185,NPU:0
MindSpore,1783301383376319.07,7399.9935,7684.096,8261.727,NPU:0
MindSpore+GE,1783301383376319.07,7399.9935,7684.096,8261.727,NPU:0
MindSpore,1783301383376449.35,7416.378,7684.096,8278.1115,NPU:0
MindSpore+GE,1783301383376449.35,7416.378,7684.096,8278.1115,NPU:0
MindSpore,1783301383376465.73,7399.9935,7684.096,8261.727,NPU:0
MindSpore+GE,1783301383376465.73,7399.9935,7684.096,8261.727,NPU:0
MindSpore,1783301383376518.68,7399.991,7684.096,8261.7245,NPU:0
MindSpore+GE,1783301383376518.68,7399.991,7684.096,8261.7245,NPU:0
MindSpore,1783301383376933.52,7399.9995,7684.096,8261.733,NPU:0
MindSpore+GE,1783301383376933.52,7399.9995,7684.096,8261.733,NPU:0
MindSpore,1783301383377046.42,7400.008,7684.096,8261.7415,NPU:0
MindSpore+GE,1783301383377046.42,7400.008,7684.096,8261.7415,NPU:0
MindSpore,1783301383377067.68,7399.9995,7684.096,8261.733,NPU:0
MindSpore+GE,1783301383377067.68,7399.9995,7684.096,8261.733,NPU:0
MindSpore,1783301383377149.94,7400.0,7684.096,8261.7335,NPU:0
MindSpore+GE,1783301383377149.94,7400.0,7684.096,8261.7335,NPU:0
MindSpore,1783301383377160.42,7400.2565,7684.096,8261.99,NPU:0
MindSpore+GE,1783301383377160.42,7400.2565,7684.096,8261.99,NPU:0
MindSpore,1783301383377302.45,7400.248,7684.096,8261.9815,NPU:0
MindSpore+GE,1783301383377302.45,7400.248,7684.096,8261.9815,NPU:0
MindSpore,1783301383377428.17,7400.7605,7684.096,8262.494,NPU:0
MindSpore+GE,1783301383377428.17,7400.7605,7684.096,8262.494,NPU:0
MindSpore,1783301383377449.84,7400.504,7684.096,8262.2375,NPU:0
MindSpore+GE,1783301383377449.84,7400.504,7684.096,8262.2375,NPU:0
MindSpore,1783301383378067.73,7416.8885,7684.096,8278.622,NPU:0
MindSpore+GE,1783301383378067.73,7416.8885,7684.096,8278.622,NPU:0
MindSpore,1783301383382251.35,7433.274,7684.096,8295.0075,NPU:0
MindSpore+GE,1783301383382251.35,7433.274,7684.096,8295.0075,NPU:0
MindSpore,1783301383382273.01,7416.8885,7684.096,8278.622,NPU:0
MindSpore+GE,1783301383382273.01,7416.8885,7684.096,8278.622,NPU:0
MindSpore,1783301383382297.14,7449.657,7684.096,8311.3905,NPU:0
MindSpore+GE,1783301383382297.14,7449.657,7684.096,8311.3905,NPU:0
MindSpore,1783301383384230.32,7433.2725,7684.096,8295.006,NPU:0
MindSpore+GE,1783301383384230.32,7433.2725,7684.096,8295.006,NPU:0
MindSpore,1783301383384379.07,7433.785,7684.096,8295.5185,NPU:0
MindSpore+GE,1783301383384379.07,7433.785,7684.096,8295.5185,NPU:0
MindSpore,1783301383384529.87,7434.2975,7684.096,8296.031,NPU:0
MindSpore+GE,1783301383384529.87,7434.2975,7684.096,8296.031,NPU:0
MindSpore,1783301383387279.95,7433.785,7684.096,8295.5185,NPU:0
MindSpore+GE,1783301383387279.95,7433.785,7684.096,8295.5185,NPU:0
MindSpore,1783301383387982.18,7434.2975,7684.096,8296.031,NPU:0
MindSpore+GE,1783301383387982.18,7434.2975,7684.096,8296.031,NPU:0
MindSpore,1783301383388011.94,7434.81,7684.096,8296.5435,NPU:0
MindSpore+GE,1783301383388011.94,7434.81,7684.096,8296.5435,NPU:0
MindSpore,1783301383390808.54,7434.2975,7684.096,8296.031,NPU:0
MindSpore+GE,1783301383390808.54,7434.2975,7684.096,8296.031,NPU:0
MindSpore,1783301383391317.16,7450.682,7684.096,8312.4155,NPU:0
MindSpore+GE,1783301383391317.16,7450.682,7684.096,8312.4155,NPU:0
MindSpore,1783301383419132.25,7467.067,7684.096,8328.8005,NPU:0
MindSpore+GE,1783301383419132.25,7467.067,7684.096,8328.8005,NPU:0
MindSpore,1783301383419161.45,7450.682,7684.096,8312.4155,NPU:0
MindSpore+GE,1783301383419161.45,7450.682,7684.096,8312.4155,NPU:0
MindSpore,1783301383452768.91,7483.4505,7684.096,8345.184,NPU:0
MindSpore+GE,1783301383452768.91,7483.4505,7684.096,8345.184,NPU:0
MindSpore,1783301383452915.01,7499.8355,7684.096,8361.569,NPU:0
MindSpore+GE,1783301383452915.01,7499.8355,7684.096,8361.569,NPU:0
MindSpore,1783301383452924.96,7483.4505,7684.096,8345.184,NPU:0
MindSpore+GE,1783301383452924.96,7483.4505,7684.096,8345.184,NPU:0
MindSpore,1783301383452934.81,7467.066,7684.096,8328.7995,NPU:0
MindSpore+GE,1783301383452934.81,7467.066,7684.096,8328.7995,NPU:0
MindSpore,1783301383452947.78,7499.8345,7684.096,8361.568,NPU:0
MindSpore+GE,1783301383452947.78,7499.8345,7684.096,8361.568,NPU:0
MindSpore,1783301383453156.78,7467.066,7684.096,8328.7995,NPU:0
MindSpore+GE,1783301383453156.78,7467.066,7684.096,8328.7995,NPU:0
MindSpore,1783301383453167.83,7499.8345,7684.096,8361.568,NPU:0
MindSpore+GE,1783301383453167.83,7499.8345,7684.096,8361.568,NPU:0
MindSpore,1783301383453275.33,7467.066,7684.096,8328.7995,NPU:0
MindSpore+GE,1783301383453275.33,7467.066,7684.096,8328.7995,NPU:0
MindSpore,1783301383453285.66,7499.8345,7684.096,8361.568,NPU:0
MindSpore+GE,1783301383453285.66,7499.8345,7684.096,8361.568,NPU:0
MindSpore,1783301383453439.2,7467.066,7684.096,8328.7995,NPU:0
MindSpore+GE,1783301383453439.2,7467.066,7684.096,8328.7995,NPU:0
MindSpore,1783301383453443.02,7434.2975,7684.096,8296.031,NPU:0
MindSpore+GE,1783301383453443.02,7434.2975,7684.096,8296.031,NPU:0
MindSpore,1783301383453590.33,7467.066,7684.096,8328.7995,NPU:0
MindSpore+GE,1783301383453590.33,7467.066,7684.096,8328.7995,NPU:0
MindSpore,1783301383482802.98,7499.8355,7684.096,8361.569,NPU:0
MindSpore+GE,1783301383482802.98,7499.8355,7684.096,8361.569,NPU:0
MindSpore,1783301383482833.24,7467.066,7684.096,8328.7995,NPU:0
MindSpore+GE,1783301383482833.24,7467.066,7684.096,8328.7995,NPU:0
MindSpore,1783301383483667.7,7483.4505,7684.096,8345.184,NPU:0
MindSpore+GE,1783301383483667.7,7483.4505,7684.096,8345.184,NPU:0
MindSpore,1783301383483767.24,7450.682,7684.096,8312.4155,NPU:0
MindSpore+GE,1783301383483767.24,7450.682,7684.096,8312.4155,NPU:0
MindSpore,1783301383483853.9,7581.7545,7684.096,8443.488,NPU:0
MindSpore+GE,1783301383483853.9,7581.7545,7684.096,8443.488,NPU:0
MindSpore,1783301383509107.83,7696.4435,7751.68,8558.177,NPU:0
MindSpore+GE,1783301383509107.83,7696.4435,7751.68,8558.177,NPU:0
MindSpore,1783301383509136.21,7581.7545,7751.68,8443.488,NPU:0
MindSpore+GE,1783301383509136.21,7581.7545,7751.68,8443.488,NPU:0
MindSpore,1783301383509154.28,7450.682,7751.68,8312.4155,NPU:0
MindSpore+GE,1783301383509154.28,7450.682,7751.68,8312.4155,NPU:0
MindSpore,1783301383509157.26,7434.2975,7751.68,8296.031,NPU:0
MindSpore+GE,1783301383509157.26,7434.2975,7751.68,8296.031,NPU:0
MindSpore,1783301383540074.81,7434.554,7751.68,8296.2875,NPU:0
MindSpore+GE,1783301383540074.81,7434.554,7751.68,8296.2875,NPU:0
MindSpore,1783301383540255.33,7434.8115,7751.68,8296.545,NPU:0
MindSpore+GE,1783301383540255.33,7434.8115,7751.68,8296.545,NPU:0
MindSpore,1783301383540267.01,7434.554,7751.68,8296.2875,NPU:0
MindSpore+GE,1783301383540267.01,7434.554,7751.68,8296.2875,NPU:0
MindSpore,1783301383540285.67,7435.0665,7751.68,8296.8,NPU:0
MindSpore+GE,1783301383540285.67,7435.0665,7751.68,8296.8,NPU:0
MindSpore,1783301383541134.61,7434.81,7751.68,8296.5435,NPU:0
MindSpore+GE,1783301383541134.61,7434.81,7751.68,8296.5435,NPU:0
MindSpore,1783301383541237.93,7435.3225,7751.68,8297.056,NPU:0
MindSpore+GE,1783301383541237.93,7435.3225,7751.68,8297.056,NPU:0
MindSpore,1783301383541275.12,7435.835,7751.68,8297.5685,NPU:0
MindSpore+GE,1783301383541275.12,7435.835,7751.68,8297.5685,NPU:0
MindSpore,1783301383541323.21,7435.3225,7751.68,8297.056,NPU:0
MindSpore+GE,1783301383541323.21,7435.3225,7751.68,8297.056,NPU:0
MindSpore,1783301383541357.28,7435.835,7751.68,8297.5685,NPU:0
MindSpore+GE,1783301383541357.28,7435.835,7751.68,8297.5685,NPU:0
MindSpore,1783301383541377.03,7436.3475,7751.68,8298.081,NPU:0
MindSpore+GE,1783301383541377.03,7436.3475,7751.68,8298.081,NPU:0
MindSpore,1783301383541420.04,7435.835,7751.68,8297.5685,NPU:0
MindSpore+GE,1783301383541420.04,7435.835,7751.68,8297.5685,NPU:0
MindSpore,1783301383541456.24,7436.0915,7751.68,8297.825,NPU:0
MindSpore+GE,1783301383541456.24,7436.0915,7751.68,8297.825,NPU:0
MindSpore,1783301383541577.46,7436.3485,7751.68,8298.082,NPU:0
MindSpore+GE,1783301383541577.46,7436.3485,7751.68,8298.082,NPU:0
MindSpore,1783301383541587.01,7436.0915,7751.68,8297.825,NPU:0
MindSpore+GE,1783301383541587.01,7436.0915,7751.68,8297.825,NPU:0
MindSpore,1783301383541722.8,7436.604,7751.68,8298.3375,NPU:0
MindSpore+GE,1783301383541722.8,7436.604,7751.68,8298.3375,NPU:0
MindSpore,1783301383541809.37,7436.861,7751.68,8298.5945,NPU:0
MindSpore+GE,1783301383541809.37,7436.861,7751.68,8298.5945,NPU:0
MindSpore,1783301383541817.56,7436.604,7751.68,8298.3375,NPU:0
MindSpore+GE,1783301383541817.56,7436.604,7751.68,8298.3375,NPU:0
MindSpore,1783301383541825.04,7436.3475,7751.68,8298.081,NPU:0
MindSpore+GE,1783301383541825.04,7436.3475,7751.68,8298.081,NPU:0
MindSpore,1783301383541836.98,7436.86,7751.68,8298.5935,NPU:0
MindSpore+GE,1783301383541836.98,7436.86,7751.68,8298.5935,NPU:0
MindSpore,1783301383541986.54,7436.3475,7751.68,8298.081,NPU:0
MindSpore+GE,1783301383541986.54,7436.3475,7751.68,8298.081,NPU:0
MindSpore,1783301383541996.9,7436.86,7751.68,8298.5935,NPU:0
MindSpore+GE,1783301383541996.9,7436.86,7751.68,8298.5935,NPU:0
MindSpore,1783301383542078.43,7436.3475,7751.68,8298.081,NPU:0
MindSpore+GE,1783301383542078.43,7436.3475,7751.68,8298.081,NPU:0
MindSpore,1783301383542087.08,7436.86,7751.68,8298.5935,NPU:0
MindSpore+GE,1783301383542087.08,7436.86,7751.68,8298.5935,NPU:0
MindSpore,1783301383542199.38,7436.3475,7751.68,8298.081,NPU:0
MindSpore+GE,1783301383542199.38,7436.3475,7751.68,8298.081,NPU:0
