Name,Size(KB),Allocation Time(us),Release Time(us),Active Release Time(us),Duration(us),Active Duration(us),Allocation Total Allocated(MB),Allocation Total Reserved(MB),Allocation Total Active(MB),Release Total Allocated(MB),Release Total Reserved(MB),Release Total Active(MB),Stream Ptr,Device Type
ContiguousAllocMem,32.5,1783389624496357.5,1783389636547462.8,N/A,12051105.29,N/A,1795.87353515625,2680.0,1795.87353515625,11479.84423828125,35892.0,11479.84423828125,187651498147952,NPU:1
ContiguousAllocMem,32.5,1783389624496671.8,N/A,N/A,N/A,N/A,1795.9052734375,2680.0,1795.9052734375,N/A,N/A,N/A,187651498147952,NPU:1
ContiguousAllocMem,32.5,1783389624496849.2,N/A,N/A,N/A,N/A,1795.93701171875,2680.0,1795.93701171875,N/A,N/A,N/A,187651498147952,NPU:1
ContiguousAllocMem,32.5,1783389624497234.8,1783389636547484.0,N/A,12050249.31,N/A,1795.96875,2680.0,1795.96875,11479.8125,35892.0,11479.8125,187651498147952,NPU:1
Zeros,0.5,1783389624497623.5,1783389626195602.0,N/A,1697978.34,N/A,1795.96923828125,2680.0,1795.96923828125,1795.96923828125,2680.0,1795.96923828125,187651498147952,NPU:1
Zeros,0.5,1783389626193299.2,1783389626195613.8,N/A,2314.44,N/A,1795.9697265625,2680.0,1795.9697265625,1795.96875,2680.0,1795.96875,187651498147952,NPU:1
DistCommIrecv,28672.5,1783389626209548.8,1783389630134646.2,N/A,3925097.47,N/A,1823.96923828125,2680.0,1823.96923828125,27627.849609375,27818.0,27627.849609375,187651498147952,NPU:1
DistCommIrecv,0.5,1783389626213808.5,1783389626217797.5,N/A,3988.91,N/A,1823.9697265625,2680.0,1823.9697265625,1823.9775390625,2680.0,1823.9775390625,187651498147952,NPU:1
DistCommIrecv,8.5,1783389626213824.8,1783389626229487.0,N/A,15662.16,N/A,1823.97802734375,2680.0,1823.97802734375,1824.0009765625,2680.0,1824.0009765625,187651498147952,NPU:1
NotEqual,32.5,1783389626217817.2,N/A,N/A,N/A,N/A,1824.00927734375,2680.0,1824.00927734375,N/A,N/A,N/A,187651498147952,NPU:1
Cast,32.5,1783389626229507.8,N/A,N/A,N/A,N/A,1824.03271484375,2680.0,1824.03271484375,N/A,N/A,N/A,187651498147952,NPU:1
Cast,33.0,1783389626234105.8,1783389626234210.0,N/A,104.19,N/A,1824.06494140625,2680.0,1824.06494140625,1824.03271484375,2680.0,1824.03271484375,187651498147952,NPU:1
Mul,0.5,1783389626234236.5,1783389626236940.2,N/A,2703.74,N/A,1824.033203125,2680.0,1824.033203125,1824.041015625,2680.0,1824.041015625,187651498147952,NPU:1
Mul,8.5,1783389626234248.2,1783389626237359.5,N/A,3111.11,N/A,1824.04150390625,2680.0,1824.04150390625,1824.048828125,2680.0,1824.048828125,187651498147952,NPU:1
NotEqual,16.5,1783389626236948.5,1783389626281674.5,N/A,44725.89,N/A,1824.05712890625,2680.0,1824.05712890625,1984.03466796875,2680.0,1984.03466796875,187651498147952,NPU:1
ExpandDimsView,32768.5,1783389626275264.5,N/A,N/A,N/A,N/A,1856.04931640625,2680.0,1856.04931640625,N/A,N/A,N/A,187651498147952,NPU:1
ExpandDimsView,65536.5,1783389626275352.0,1783389626285108.8,N/A,9756.72,N/A,1920.0498046875,2680.0,1920.0498046875,1920.0341796875,2680.0,1920.0341796875,187651498147952,NPU:1
